Date,Open,High,Low,Close,Adj Close,Volume
2020-08-19,11.620000,11.850000,11.504000,11.630000,11.630000,2374100
2020-08-20,11.510000,12.330000,11.420000,12.230000,12.230000,3968000
2020-08-21,12.100000,12.220000,11.735000,11.940000,11.940000,3401400
2020-08-24,12.110000,12.235000,11.685000,11.870000,11.870000,3045500
2020-08-25,11.820000,BIDLE,11.710000,11.890000,11.890000,2771300
2020-08-26,12.000000,12.670000,12.000000,12.420000,12.420000,4195100
2020-08-27,12.430000,12.530000,12.110000,12.390000,12.390000,ABCDEF
2020-08-28,12.390000,12.965000,12.320000,12.920000,12.920000,5947900
2020-08-31,13.010000,13.440000,12.772000,13.210000,13.210000,8914900
2020-09-01,Void,13.970000,13.120000,13.860000,13.860000,13769100
2020-09-02,14.140000,14.198000,12.560000,13.240000,13.240000,16107900
2020-09-03,12.670000,12.972000,11.500000,11.630000,11.630000,16398900
2020-09-04,11.770000,11.800000,10.635000,11.220000,11.220000,9617900
2020-09-08,10.850000,11.180000,10.720000,10.890000,10.890000,7034600
2020-09-09,11.240000,11.639000,11.090000,11.540000,11.540000,6963500
2020-09-10,11.590000,11.862000,11.140000,11.160000,11.160000,4993500
2020-09-11,11.270000,11.270000,10.800000,10.950000,10.950000,4808200
2020-09-14,11.060000,11.160000,10.850000,11.080000,11.080000,4800200
2020-09-15,11.120000,11.220000,10.970000,11.130000,11.130000,4687200
